Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-07-21,30.84,31.27,30.18,30.49,30.49,5487400,330
2020-07-22,30.155001,30.93,30.049999,30.84,30.84,5087200,331
2020-07-23,30.610001,31.68,30.26,30.860001,30.860001,6052400,332
2020-07-24,30.5,30.610001,29.09,30.42,30.42,7728400,333
2020-07-27,30.559999,30.690001,29.440001,29.889999,29.889999,4445900,334
2020-07-28,29.700001,30.049999,29.35,29.49,29.49,4018700,335
2020-07-29,29.74,30.129999,29.434999,29.889999,29.889999,3932400,336
2020-07-30,29.34,29.549999,28.690001,29.48,29.48,5664800,337
2020-07-31,29.700001,29.806999,28.68,29.23,29.23,5466800,338
2020-08-03,29.25,29.360001,28.66,29.09,29.09,4203900,339
2020-08-04,29,30.58,28.950001,30.5,30.5,7333200,340
2020-08-05,30.75,31.030001,30.26,30.889999,30.889999,4281000,341
2020-08-06,30.73,32.775002,30.690001,32.34,32.34,7581200,342
2020-08-07,31.139999,31.139999,29.51,30.190001,30.190001,11184600,343
2020-08-10,30.27,31.6,29.530001,31.049999,31.049999,11740900,344
2020-08-11,30.719999,31.450001,30.43,30.65,30.65,9798200,345
2020-08-12,30.99,31.620001,30.35,30.52,30.52,12286600,346
2020-08-13,29.690001,29.879999,28.73,28.879999,28.879999,18662700,347
2020-08-14,28.549999,28.98,28.07,28.51,28.51,9606500,348
2020-08-17,28.358999,28.419001,26.52,27.17,27.17,14004400,349
2020-08-18,27.153,28.030001,26.959999,27.940001,27.940001,11469800,350
2020-08-19,27.733999,28.700001,27.719999,28.139999,28.139999,7487700,351
2020-08-20,27.799999,30.91,25.74,29.76,29.76,56019000,352
2020-08-21,29.459999,30.23,28.629999,28.93,28.93,12728300,353
2020-08-24,29.049999,29.267,28.25,28.98,28.98,6044400,354
2020-08-25,28.940001,29.190001,28.469999,29.01,29.01,5067500,355
2020-08-26,29,29.940001,28.9,29.52,29.52,6895000,356
2020-08-27,29.68,29.799999,28.945,29.700001,29.700001,6494500,357
2020-08-28,29.99,30.82,29.709999,30.77,30.77,7747700,358
2020-08-31,30.639999,30.865999,29.594999,29.67,29.67,4815200,359
2020-09-01,29.530001,29.870001,28.93,29.43,29.43,5622000,360
2020-09-02,29.4,29.535,28.290001,28.610001,28.610001,9083400,361
2020-09-03,28.780001,29.35,28.040001,28.559999,28.559999,10351100,362
2020-09-04,28.629999,29.17,27.17,28.969999,28.969999,7066400,363
2020-09-08,28.23,30.950001,28.040001,30.1,30.1,10688900,364
2020-09-09,29.809999,30.5,29.24,29.870001,29.870001,8865200,365
2020-09-10,30.209999,31.200001,29.33,29.51,29.51,8130600,366
2020-09-11,29.77,31.207001,29.57,30.76,30.76,9865700,367
2020-09-14,30.83,32.154999,30.83,31.969999,31.969999,9740000,368
2020-09-15,32.259998,32.27,30.049999,30.23,30.23,14197200,369
2020-09-16,30.16,31.1,30.16,30.700001,30.700001,8438100,370
2020-09-17,30,31.370001,29.58,31.24,31.24,9536700,371
2020-09-18,31.24,31.290001,30.190001,30.59,30.59,8020000,372
2020-09-21,29.540001,29.791,28.440001,28.9,28.9,9288300,373
2020-09-22,29.17,29.172001,28,28.309999,28.309999,9349500,374
2020-09-23,28.27,28.559999,26.959999,26.969999,26.969999,6471800,375
2020-09-24,26.860001,27.469999,26.51,26.77,26.77,8672100,376
2020-09-25,26.66,27.530001,26.52,27.530001,27.530001,5470400,377
2020-09-28,28.139999,28.445,27.715,28.049999,28.049999,7257100,378
2020-09-29,27.950001,27.950001,27.122,27.139999,27.139999,5938600,379
2020-09-30,27.360001,28.110001,27.34,27.549999,27.549999,7196300,380
2020-10-01,28,28.360001,27.565001,27.809999,27.809999,7132300,381
2020-10-02,26.9,27.940001,26.75,27.629999,27.629999,6786200,382
2020-10-05,27.83,28.059999,26.65,26.690001,26.690001,10741000,383
2020-10-06,27.08,27.370001,26.24,26.41,26.41,9303900,384
2020-10-07,26.75,26.9,26.110001,26.27,26.27,10848600,385
2020-10-08,26.469999,27.59,26.370001,27.209999,27.209999,13330700,386
2020-10-09,27.52,28.09,27.450001,27.799999,27.799999,6724300,387
2020-10-12,27.92,27.92,26.93,27.24,27.24,6813300,388
2020-10-13,27.139999,27.200001,26.325001,26.33,26.33,8732100,389
2020-10-14,26.5,26.959999,26.159,26.75,26.75,7877200,390
2020-10-15,26.35,26.360001,25.530001,25.6,25.6,9010500,391
2020-10-16,25.83,25.83,25.209999,25.530001,25.530001,6769800,392
2020-10-19,25.700001,25.790001,24.6,24.629999,24.629999,9830200,393
2020-10-20,24.959999,25.629999,24.545,25.129999,25.129999,11399000,394
2020-10-21,24.969999,25,24.17,24.66,24.66,10514100,395
2020-10-22,24.799999,25.700001,24.700001,25.58,25.58,7329600,396
2020-10-23,25.42,26.219999,25.07,26.02,26.02,8124600,397
2020-10-26,25.68,26.02,24.68,24.84,24.84,7230200,398
2020-10-27,24.76,24.789,22.889999,22.940001,22.940001,15308000,399
2020-10-28,22.440001,22.620001,21.34,22.23,22.23,17627600,400
2020-10-29,22.23,23.27,21.91,22.93,22.93,7482600,401
2020-10-30,22.82,23.43,22.4,22.83,22.83,8012800,402
2020-11-02,23.190001,24.67,22.9,24.5,24.5,12181700,403
2020-11-03,24.91,26.6,24.860001,26.23,26.23,16311400,404
2020-11-04,31.700001,32.119999,28.309999,29.190001,29.190001,60939000,405
2020-11-05,29.091,29.75,28.719999,29.030001,29.030001,12774700,406
2020-11-06,28.65,30.33,27.93,29.84,29.84,16028400,407
2020-11-09,35.004002,37.98,34.959999,37.689999,37.689999,36882200,408
2020-11-10,36.779999,38.057999,35.889999,36.049999,36.049999,22041700,409
2020-11-11,37.287998,38.900002,35.860001,36.41,36.41,30160800,410
2020-11-12,35.459999,37.810001,35.43,36.459999,36.459999,13324300,411
2020-11-13,36.75,37.744999,35.970001,37.540001,37.540001,8256600,412
